PD						CRP	A quantitative measurement of the amount of C-reactive protein present in a sample.	ncit:C64548
PD						EBV DNA	The determination of the amount of Epstein-Barr virus DNA present in a sample.	ncit:C166035
PD						EBV IgG	The determination of the amount of Epstein-Barr virus in a biological sample.	ncit:C184675
PD						Eosinophils	The determination of the number of eosinophils in a blood sample.	ncit:C64550
PD						ESR	A quantitative measurement of the distance that red blood cells travel in one hour in a sample of unclotted blood.	ncit:C74611
PD						Free T4	The determination of the amount of free thyroxine present in a sample.	ncit:C74786
PD						Hemoglobin	A quantitative measurement of the amount of hemoglobin present in a biospecimen.	ncit:C64848
PD						LDH	A quantitative measurement of the amount of lactate dehydrogenase present in a sample.	ncit:C64855
PD						Lymphocytes	The determination of the number of lymphocytes in a blood sample.	ncit:C12535
PD						Monocytes	The determination of the number of monocytes in a blood sample.	ncit:C64823
PD						Myelocyte
PD						Neutrophils	The real number of white blood cells (WBC) that are neutrophils. It is derived by multiplying the WBC count by the percent of neutrophils in the differential WBC count. The normal range for ANC is 1.5 to 8.0 (1,500 to 8,000/mm3).	ncit:C51949
PD						Phosphorus
PD						Platelets	The determination of the number of platelets in a biospecimen.	ncit:C51951
PD						Protein Total
PD						RBC	The determination of the number of erythrocytes in a biospecimen.	ncit:C51946
PD						Segmented Neutrophils (segs)
PD						Total T4
PD						TSH	A quantitative measurement of the amount of thyrotropin present in a sample.	ncit:C64813
PD						Uric Acid
PD						WBC	A test to determine the number of leukocytes in a biospecimen.	ncit:C51948
VD	LAB_SPEC_TYPE	Code	Mandatory	The type of a material sample taken from a biological entity for laboratory testing.	ncit:C83315	_undefined_	_undefined_	_undefined_
PD						Blood	A small volume of blood removed for testing or storage.	ncit:C17610
PD						Other	Different than the one(s) previously specified or mentioned.	ncit:C17649
VD	LAB_RESULT	String	Mandatory	The outcome of a laboratory test.	ncit:C36292	_undefined_	_undefined_	_undefined_
VD	LAB_RESULT_NUMERIC	Number	Mandatory	The numerical identifier of the laboratory test result in standard units.	ncit:C83320	_undefined_	_undefined_	_undefined_
VD	LAB_RESULT_UNIT	Code	Mandatory	The unit of measure for the original laboratory test result.	ncit:C83106	_undefined_	_undefined_	_undefined_
PD						%	A unit for expressing a number as a fraction of hundred (on the basis of a rate or proportion per hundred).	ncit:C48570
PD						count/mm3	A count of items per cubic millimeter of sample.	ncit:C173275
PD						g/dL	A unit of mass concentration defined as the concentration of one gram of a substance per unit volume of the mixture equal to one deciliter (100 milliliters). The concept also refers to the metric unit of mass density (volumic mass) defined as the density of substance which mass equal to one gram occupies the volume one deciliter.	ncit:C64783
PD						U/L	An arbitrary unit of substance concentration equal to the concentration at which one liter of mixture contains one unit of a substance.	ncit:C67456
PD						mm/h	A unit of both speed (scalar) and velocity (vector), defined as the distance of one millimeter travelled per unit time equal to one hour.	ncit:C67419
PD						mg/L	A metric unit of mass concentration defined as the concentration of one gram of a substance per unit volume of the mixture equal to one cubic meter. The concept also refers to the metric unit of mass density (volumic mass) defined as the density of a substance which mass equal to one gram occupies the volume of one cubic meter.	ncit:C64572
PD						uIU/mL	Unit of arbitrary substance concentration (biologic activity concentration) defined as the concentration of one millionth of international unit per one milliliter of system volume.	ncit:C67405
PD						mcg/mL	A metric unit of mass concentration defined as the concentration of one gram of a substance per unit volume of the mixture equal to one cubic meter. The concept also refers to the metric unit of mass density (volumic mass) defined as the density of a substance which mass equal to one gram occupies the volume of one cubic meter.	ncit:C64572
VD	LAB_METHOD	Code	Mandatory	A systematic course of action that is performed in order to complete a laboratory test.	ncit:C83312	_undefined_	_undefined_	_undefined_
PD						PCR	A method for amplifying a DNA base sequence using multiple rounds of heat denaturation of the DNA and annealing of oligonucleotide primers complementary to flanking regions in the presence of a heat-stable polymerase. This results in duplication of the targeted DNA region. Newly synthesized DNA strands can subsequently serve as additional templates for the same primer sequences, so that successive rounds of primer annealing, strand elongation, and dissociation produce rapid and highly specific amplification of the desired sequence. PCR also can be used to detect the existence of the defined sequence in a DNA sample.	ncit:C17003
PD						Unknown	Not known, observed, recorded; or reported as unknown by the data contributor.	ncit:C17998
PD						Not Reported	Not provided or available.	ncit:C43234
VD	THRESHOLD_HIGH	Number	Mandatory	The maximum level that must be exceeded for a certain reaction to occur or be manifested.	ncit:C177365	_undefined_	_undefined_	_undefined_
VD	THRESHOLD_LOW	Number	Mandatory	The minimum level that must be attained for a certain reaction to occur or be manifested.	ncit:C177366	_undefined_	_undefined_	_undefined_


DD	Testing
TD	Immunohistochemistry
TG	One row per subject per immunohistochemistry finding
VD	AGE_AT_IHC	Number	Optional	Age of subject (in days) at immunohistochemistry assessment.	ncit:C175006	_undefined_	_undefined_	_undefined_
VD	DISEASE_PHASE	Code	Optional	The stage or period of an individual's disease.	ncit:C168878	_undefined_	_undefined_	_undefined_
PD						Initial Diagnosis	The first diagnosis of the individual's condition.	ncit:C156813	Note: Disease phase could be "Initial Diagnosis" phase, a "Relapse" phase, etc...
PD						Relapse	The return of a disease after a period of remission.	ncit:C38155
PD						Progression	The worsening of a disease over time.	ncit:C17747
PD						Refractory	Not responding to treatment.	ncit:C38014
VD	DISEASE_PHASE_NUMBER	Number	Optional	The number of the disease phase.	ncit:C173258	_undefined_	_undefined_	_undefined_
VD	COURSE	Code	Optional	The label for the course of systemic chemotherapy.	ncit:C168807	_undefined_	_undefined_	_undefined_
PD						Chemotherapy	The use of synthetic or naturally-occurring chemicals for the treatment of diseases.	ncit:C15632
PD						Radiation Therapy	Treatment of a disease by means of exposure of the target or the whole body to radiation. Radiation therapy is often used as part of curative therapy and occasionally as a component of palliative treatment for cancer. Other uses include total body irradiation prior to transplantation.	ncit:C15313
PD						Chemoimmunotherapy	Chemotherapy combined with immunotherapy. Chemotherapy uses different drugs to kill or slow the growth of cancer cells; immunotherapy uses treatments to stimulate or restore the ability of the immune system to fight cancer.	ncit:C94251
PD						Immunotherapy	Therapy designed to induce changes in a patient's immune status in order to treat disease.	ncit:C15262
VD	COURSE_NUMBER	Number	Optional	The number assigned to a course of therapeutic agent administration, indicating where a particular course of treatment falls within a sequence of treatments.	ncit:C166235	_undefined_	_undefined_	_undefined_
VD	IHC_TEST	Code	Optional	A diagnostic test in which an antibody is used to link a cellular antigen specifically to a stain that can be seen with a microscope.	ncit:C51944	_undefined_	_undefined_	_undefined_
PD						CD30	Tumor necrosis factor receptor superfamily member 8 (595 aa, ~ 64 kDa) is encoded by the human TNFRSF8 gene. This protein is involved in ligand-mediated signal transduction, the positive regulation of apoptosis and the inhibition of cell proliferation.	ncit:C38906
PD						CD20	B-lymphocyte antigen CD20 (297 aa, ~33 kDa) is encoded by the human MS4A1 gene. This protein plays a role in both the activation and proliferation of B-cells.	ncit:C38896
PD						LMP1	Latent membrane protein 1 (386 aa, ~42 kDa) is encoded by the Epstein-Barr virus LMP1 gene. This protein is involved in both the activation of nuclear factor-kappa-B family signaling pathways and the inhibition of apoptosis of infected B-lymphocytes.	ncit:C18863
PD						EBER	Small non-coding RNA that is encoded by Epstein-Barr virus DNA and transcribed by virally-infected cells throughout the latent cycle. Expression of these oligonucleotides may be associated with the regulation of host ribosome function.	ncit:C111618
VD	IHC_SPEC_TYPE	Code	Optional	The type of a material sample taken from a biological entity for immunohistochemistry testing.	ncit:C185535	_undefined_	_undefined_	_undefined_
PD						Tissue	An anatomical structure consisting of similarly specialized cells and intercellular matrix, aggregated according to genetically determined spatial relationships, performing a specific function.	ncit:C12801
VD	IHC_RESULT	String	Optional	The result from the immunohistochemical test.	ncit:C175007	_undefined_	_undefined_	_undefined_
VD	IHC_RESULT_NUMERIC	Number	Optional	The numerical identifier of an immunohistochemistry specimen assessment result.	ncit:C177368	_undefined_	_undefined_	_undefined_
VD	IHC_RESULT_UNIT	Code	Optional	The unit of an immunohistochemistry test result.	ncit:C185621	_undefined_	_undefined_	_undefined_
PD						Number of Events	A measurement of the total number of events that have occurred.	ncit:C130057
